Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452	43	-17	-1.0	17	2452
44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474	44	-121	-5.5	22	2474
45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515	45	-239	-5.829268292682927	41	2515
46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536	46	-21	-1.0	21	2536
47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550	47	-14	-1.0	14	2550
48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586	48	-135	-3.75	36	2586
49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619	49	-132	-4.0	33	2619
50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635	50	-16	-1.0	16	2635
51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656	51	-21	-1.0	21	2656
52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669	52	-13	-1.0	13	2669
