Episode	Accumulated Reward	Average Reward	Length	Steps
774	-132	-3.8823529411764706	34	21987
775	-140	-0.9790209790209791	143	22130
776	-154	-2.75	56	22186
777	-97	-0.97	100	22286
778	-106	-13.25	8	22294
779	-117	-6.157894736842105	19	22313
780	-85	-0.9659090909090909	88	22401
781	-103	-20.6	5	22406
782	79	3.16	25	22431
783	-115	-6.764705882352941	17	22448
784	-112	-0.9739130434782609	115	22563
785	-155	-2.719298245614035	57	22620
786	-130	-4.0625	32	22652
787	-125	-4.62962962962963	27	22679
788	-128	-4.266666666666667	30	22709
789	-100	-50.0	2	22711
790	-103	-20.6	5	22716
791	-121	-0.9758064516129032	124	22840
792	-69	-0.9583333333333334	72	22912
793	-100	-50.0	2	22914
794	-100	-50.0	2	22916
795	22	0.2682926829268293	82	22998
796	-42	-0.2876712328767123	146	23144
797	-119	-5.666666666666667	21	23165
798	-107	-11.88888888888889	9	23174
799	-101	-33.666666666666664	3	23177
800	-8	-0.07142857142857142	112	23289
801	-127	-4.379310344827586	29	23318
802	-117	-6.157894736842105	19	23337
803	-100	-50.0	2	23339
804	-91	-0.9680851063829787	94	23433
