Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694	43	-15	-1.0	15	694
44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709	44	-15	-1.0	15	709
45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723	45	-14	-1.0	14	723
46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754	46	-229	-7.387096774193548	31	754
47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780	47	-125	-4.8076923076923075	26	780
48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803	48	-122	-5.304347826086956	23	803
49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831	49	-226	-8.071428571428571	28	831
50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844	50	-13	-1.0	13	844
51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857	51	-13	-1.0	13	857
52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874	52	-17	-1.0	17	874
