Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
252	-111	-8.538461538461538	13	4279	252	-111	-8.538461538461538	13	4279	252	-111	-8.538461538461538	13	4279
253	-130	-4.0625	32	4311	253	-130	-4.0625	32	4311	253	-130	-4.0625	32	4311
254	-107	-11.88888888888889	9	4320	254	-107	-11.88888888888889	9	4320	254	-107	-11.88888888888889	9	4320
255	-163	-2.5076923076923077	65	4385	255	-163	-2.5076923076923077	65	4385	255	-163	-2.5076923076923077	65	4385
256	-101	-33.666666666666664	3	4388	256	-101	-33.666666666666664	3	4388	256	-101	-33.666666666666664	3	4388
257	-43	-0.9347826086956522	46	4434	257	-43	-0.9347826086956522	46	4434	257	-43	-0.9347826086956522	46	4434
258	-119	-5.666666666666667	21	4455	258	-119	-5.666666666666667	21	4455	258	-119	-5.666666666666667	21	4455
259	-102	-25.5	4	4459	259	-102	-25.5	4	4459	259	-102	-25.5	4	4459
260	-161	-2.5555555555555554	63	4522	260	-161	-2.5555555555555554	63	4522	260	-161	-2.5555555555555554	63	4522
261	-100	-50.0	2	4524	261	-100	-50.0	2	4524	261	-100	-50.0	2	4524
262	-146	-3.0416666666666665	48	4572	262	-146	-3.0416666666666665	48	4572	262	-146	-3.0416666666666665	48	4572
263	-107	-11.88888888888889	9	4581	263	-107	-11.88888888888889	9	4581	263	-107	-11.88888888888889	9	4581
264	-100	-50.0	2	4583	264	-100	-50.0	2	4583	264	-100	-50.0	2	4583
265	-53	-0.9464285714285714	56	4639	265	-53	-0.9464285714285714	56	4639	265	-53	-0.9464285714285714	56	4639
266	-100	-50.0	2	4641	266	-100	-50.0	2	4641	266	-100	-50.0	2	4641
267	-102	-25.5	4	4645	267	-102	-25.5	4	4645	267	-102	-25.5	4	4645
268	-103	-20.6	5	4650	268	-103	-20.6	5	4650	268	-103	-20.6	5	4650
269	-105	-15.0	7	4657	269	-105	-15.0	7	4657	269	-105	-15.0	7	4657
270	-54	-0.9473684210526315	57	4714	270	-54	-0.9473684210526315	57	4714	270	-54	-0.9473684210526315	57	4714
