Episode	Accumulated Reward	Average Reward	Length	Steps
543	-110	-9.166666666666666	12	9613
544	-105	-15.0	7	9620
545	-100	-50.0	2	9622
546	-100	-50.0	2	9624
547	-100	-50.0	2	9626
548	-100	-50.0	2	9628
549	-100	-50.0	2	9630
550	-113	-7.533333333333333	15	9645
551	-103	-20.6	5	9650
552	-100	-50.0	2	9652
553	-7	-0.7	10	9662
554	-100	-50.0	2	9664
555	-105	-15.0	7	9671
556	-100	-50.0	2	9673
557	-106	-13.25	8	9681
558	-68	-0.9577464788732394	71	9752
559	-109	-9.909090909090908	11	9763
560	-100	-50.0	2	9765
561	-102	-25.5	4	9769
562	-100	-50.0	2	9771
563	-102	-0.9714285714285714	105	9876
564	-107	-11.88888888888889	9	9885
565	-106	-13.25	8	9893
566	-159	-2.6065573770491803	61	9954
567	-106	-13.25	8	9962
568	-100	-50.0	2	9964
569	-100	-50.0	2	9966
570	-21	-0.875	24	9990
571	-100	-50.0	2	9992
572	-45	-0.9375	48	10040
573	-123	-4.92	25	10065
574	-126	-4.5	28	10093
575	-114	-7.125	16	10109
576	-100	-50.0	2	10111
577	-235	-1.7153284671532847	137	10248
578	-105	-15.0	7	10255
579	-146	-3.0416666666666665	48	10303
580	-156	-2.689655172413793	58	10361
581	-108	-10.8	10	10371
582	-105	-15.0	7	10378
583	-104	-17.333333333333332	6	10384
584	-50	-0.3246753246753247	154	10538
585	-104	-17.333333333333332	6	10544
586	-109	-9.909090909090908	11	10555
587	-100	-50.0	2	10557
588	-127	-4.379310344827586	29	10586
589	-19	-0.8636363636363636	22	10608
590	-113	-7.533333333333333	15	10623
591	-111	-8.538461538461538	13	10636
592	-101	-33.666666666666664	3	10639
593	-65	-0.9558823529411765	68	10707
594	-101	-33.666666666666664	3	10710
595	-213	-1.8521739130434782	115	10825
596	-118	-5.9	20	10845
597	-100	-50.0	2	10847
598	-112	-8.0	14	10861
599	-100	-50.0	2	10863
600	-113	-7.533333333333333	15	10878
601	21	0.25301204819277107	83	10961
602	-112	-8.0	14	10975
603	-125	-4.62962962962963	27	11002
604	-100	-50.0	2	11004
605	-2	-0.4	5	11009
606	-16	-0.8421052631578947	19	11028
607	-100	-50.0	2	11030
608	-100	-50.0	2	11032
609	-117	-6.157894736842105	19	11051
610	-137	-3.5128205128205128	39	11090
611	-100	-50.0	2	11092
612	-100	-50.0	2	11094
613	-102	-25.5	4	11098
