Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126	72	-15	-1.0	15	1126
73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139	73	-13	-1.0	13	1139
74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156	74	-17	-1.0	17	1156
75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169	75	-13	-1.0	13	1169
76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184	76	-15	-1.0	15	1184
77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199	77	-15	-1.0	15	1199
78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212	78	-13	-1.0	13	1212
79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225	79	-13	-1.0	13	1225
80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240	80	-15	-1.0	15	1240
81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262	81	-121	-5.5	22	1262
82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285	82	-122	-5.304347826086956	23	1285
83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309	83	-123	-5.125	24	1309
84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329	84	-119	-5.95	20	1329
85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344	85	-15	-1.0	15	1344
86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359	86	-15	-1.0	15	1359
87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375	87	-16	-1.0	16	1375
88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401	88	-125	-4.8076923076923075	26	1401
89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414	89	-13	-1.0	13	1414
90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429	90	-15	-1.0	15	1429
91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442	91	-13	-1.0	13	1442
92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457	92	-15	-1.0	15	1457
93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479	93	-121	-5.5	22	1479
94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492	94	-13	-1.0	13	1492
95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505	95	-13	-1.0	13	1505
96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520	96	-15	-1.0	15	1520
97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533	97	-13	-1.0	13	1533
98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548	98	-15	-1.0	15	1548
99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582	99	-232	-6.823529411764706	34	1582
100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600	100	-117	-6.5	18	1600
101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613	101	-13	-1.0	13	1613
