Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
168	-119	-5.666666666666667	21	2664	168	-119	-5.666666666666667	21	2664	168	-119	-5.666666666666667	21	2664	168	-119	-5.666666666666667	21	2664
169	-103	-20.6	5	2669	169	-103	-20.6	5	2669	169	-103	-20.6	5	2669	169	-103	-20.6	5	2669
170	-111	-8.538461538461538	13	2682	170	-111	-8.538461538461538	13	2682	170	-111	-8.538461538461538	13	2682	170	-111	-8.538461538461538	13	2682
171	-115	-6.764705882352941	17	2699	171	-115	-6.764705882352941	17	2699	171	-115	-6.764705882352941	17	2699	171	-115	-6.764705882352941	17	2699
172	-101	-33.666666666666664	3	2702	172	-101	-33.666666666666664	3	2702	172	-101	-33.666666666666664	3	2702	172	-101	-33.666666666666664	3	2702
173	-100	-50.0	2	2704	173	-100	-50.0	2	2704	173	-100	-50.0	2	2704	173	-100	-50.0	2	2704
174	-118	-5.9	20	2724	174	-118	-5.9	20	2724	174	-118	-5.9	20	2724	174	-118	-5.9	20	2724
175	-127	-4.379310344827586	29	2753	175	-127	-4.379310344827586	29	2753	175	-127	-4.379310344827586	29	2753	175	-127	-4.379310344827586	29	2753
176	-113	-7.533333333333333	15	2768	176	-113	-7.533333333333333	15	2768	176	-113	-7.533333333333333	15	2768	176	-113	-7.533333333333333	15	2768
177	-102	-25.5	4	2772	177	-102	-25.5	4	2772	177	-102	-25.5	4	2772	177	-102	-25.5	4	2772
178	-105	-15.0	7	2779	178	-105	-15.0	7	2779	178	-105	-15.0	7	2779	178	-105	-15.0	7	2779
179	-119	-5.666666666666667	21	2800	179	-119	-5.666666666666667	21	2800	179	-119	-5.666666666666667	21	2800	179	-119	-5.666666666666667	21	2800
180	-124	-4.769230769230769	26	2826	180	-124	-4.769230769230769	26	2826	180	-124	-4.769230769230769	26	2826	180	-124	-4.769230769230769	26	2826
181	-146	-3.0416666666666665	48	2874	181	-146	-3.0416666666666665	48	2874	181	-146	-3.0416666666666665	48	2874	181	-146	-3.0416666666666665	48	2874
182	-104	-17.333333333333332	6	2880	182	-104	-17.333333333333332	6	2880	182	-104	-17.333333333333332	6	2880	182	-104	-17.333333333333332	6	2880
183	-100	-50.0	2	2882	183	-100	-50.0	2	2882	183	-100	-50.0	2	2882	183	-100	-50.0	2	2882
184	-244	-1.6712328767123288	146	3028	184	-244	-1.6712328767123288	146	3028	184	-244	-1.6712328767123288	146	3028	184	-244	-1.6712328767123288	146	3028
185	-100	-50.0	2	3030	185	-100	-50.0	2	3030	185	-100	-50.0	2	3030	185	-100	-50.0	2	3030
186	-112	-8.0	14	3044	186	-112	-8.0	14	3044	186	-112	-8.0	14	3044	186	-112	-8.0	14	3044
187	-100	-50.0	2	3046	187	-100	-50.0	2	3046	187	-100	-50.0	2	3046	187	-100	-50.0	2	3046
188	-100	-50.0	2	3048	188	-100	-50.0	2	3048	188	-100	-50.0	2	3048	188	-100	-50.0	2	3048
189	-116	-6.444444444444445	18	3066	189	-116	-6.444444444444445	18	3066	189	-116	-6.444444444444445	18	3066	189	-116	-6.444444444444445	18	3066
